Frequency (nm),Sample,Shapiro w,Shapiro p,Skewness,Kurtosis
910.129,SCC,0.956330831,6.04E-19,0.655549638,-0.183878054
914.866,SCC,0.950364398,3.30E-20,0.703706907,-0.131764674
919.602,SCC,0.931049205,1.19E-23,0.795314625,-0.087431323
924.339,SCC,0.920930406,3.60E-25,0.869896146,0.081724998
929.075,SCC,0.912702271,2.67E-26,0.903042915,0.11119703
933.812,SCC,0.91207798,2.21E-26,0.899773491,0.08556024
938.549,SCC,0.912170563,2.27E-26,0.903150929,0.114112452
943.285,SCC,0.912618416,2.60E-26,0.934834236,0.28144243
948.022,SCC,0.911467938,1.84E-26,0.970444476,0.44632231
952.758,SCC,0.915207376,5.78E-26,0.918536124,0.291582489
957.495,SCC,0.917713724,1.27E-25,0.912872895,0.308740597
962.231,SCC,0.920454516,3.08E-25,0.889411724,0.239153237
966.968,SCC,0.922820702,6.74E-25,0.879580083,0.221897819
971.704,SCC,0.922697679,6.47E-25,0.876550843,0.201687851
976.441,SCC,0.919656589,2.38E-25,0.902399134,0.247462568
981.178,SCC,0.919073202,1.97E-25,0.917128149,0.280231111
985.914,SCC,0.919430343,2.21E-25,0.906451981,0.244456919
990.651,SCC,0.917310007,1.12E-25,0.90843374,0.190340224
995.387,SCC,0.918368024,1.57E-25,0.896861475,0.157020709
1000.12,SCC,0.917443059,1.17E-25,0.890386693,0.108975688
1004.86,SCC,0.915689656,6.71E-26,0.886830729,0.052977713
1009.6,SCC,0.917343183,1.13E-25,0.880061415,0.059434786
1014.33,SCC,0.918154525,1.46E-25,0.870538209,0.022358152
1019.07,SCC,0.917403355,1.15E-25,0.857396003,-0.033669027
1023.81,SCC,0.918781135,1.79E-25,0.845742558,-0.063358533
1028.54,SCC,0.919259874,2.09E-25,0.830167825,-0.113090095
1033.28,SCC,0.919901334,2.57E-25,0.82132704,-0.139340246
1038.02,SCC,0.921733263,4.69E-25,0.805492754,-0.172466113
1042.75,SCC,0.92354597,8.60E-25,0.785901339,-0.21986056
1047.49,SCC,0.92657787,2.43E-24,0.761086298,-0.270081589
1052.23,SCC,0.930424885,9.50E-24,0.726036342,-0.3441004
1056.96,SCC,0.934289159,3.97E-23,0.69628169,-0.408524128
1061.7,SCC,0.936941393,1.10E-22,0.67578368,-0.448338039
1066.44,SCC,0.938516572,2.04E-22,0.671157703,-0.448021214
1071.17,SCC,0.940357575,4.27E-22,0.663274549,-0.451161246
1075.91,SCC,0.942075658,8.65E-22,0.649151234,-0.462025765
1080.65,SCC,0.943683456,1.70E-21,0.666342524,-0.379812611
1085.38,SCC,0.943610653,1.65E-21,0.66938915,-0.347500122
1090.12,SCC,0.943360235,1.48E-21,0.684252074,-0.29509463
1094.85,SCC,0.943036941,1.29E-21,0.700585281,-0.221537728
1099.59,SCC,0.941830264,7.82E-22,0.708161827,-0.207488743
1104.33,SCC,0.938749896,2.24E-22,0.738328515,-0.156582574
1109.06,SCC,0.937227258,1.23E-22,0.741690661,-0.128845833
1113.8,SCC,0.933670361,3.14E-23,0.790656275,0.032794924
1118.54,SCC,0.933199519,2.63E-23,0.758222908,-0.123608672
1123.27,SCC,0.930148088,8.60E-24,0.807038281,0.007700213
1128.01,SCC,0.924157522,1.06E-24,0.884028849,0.237816749
1132.75,SCC,0.916223248,7.94E-26,0.993896992,0.637677455
1137.48,SCC,0.904969255,2.73E-27,1.131695445,1.1995114
1142.22,SCC,0.896866689,2.91E-28,1.229006051,1.615518616
1146.96,SCC,0.889719311,4.51E-29,1.309073527,1.969786927
1151.69,SCC,0.887744327,2.74E-29,1.343510379,2.160076351
1156.43,SCC,0.884336499,1.18E-29,1.364997045,2.252677546
1161.17,SCC,0.887191483,2.38E-29,1.349904423,2.161831176
1165.9,SCC,0.889379189,4.14E-29,1.319788804,1.980681937
1170.64,SCC,0.889612119,4.39E-29,1.298829626,1.855881934
1175.38,SCC,0.890626369,5.68E-29,1.285195525,1.751592699
1180.11,SCC,0.889687087,4.47E-29,1.306446197,1.901820128
1184.85,SCC,0.890812835,5.96E-29,1.298599268,1.876873593
1189.59,SCC,0.888786446,3.56E-29,1.307754166,1.923837739
1194.32,SCC,0.891582899,7.27E-29,1.291772291,1.909137711
1199.06,SCC,0.894411384,1.52E-28,1.277051533,1.891613076
1203.8,SCC,0.895536825,2.04E-28,1.269136582,1.87701476
1208.53,SCC,0.896864715,2.91E-28,1.263182642,1.870791929
1213.27,SCC,0.899985727,6.78E-28,1.238030161,1.775950423
1218.01,SCC,0.899442778,5.84E-28,1.226936039,1.700385382
1222.74,SCC,0.901455878,1.02E-27,1.215621944,1.664164522
1227.48,SCC,0.902797572,1.48E-27,1.201967885,1.580875708
1232.22,SCC,0.901448883,1.01E-27,1.201339699,1.524771533
1236.95,SCC,0.900348792,7.49E-28,1.194433563,1.462664575
1241.69,SCC,0.902196236,1.25E-27,1.170355162,1.3457512
1246.42,SCC,0.901484145,1.02E-27,1.178905181,1.3648191
1251.16,SCC,0.901296357,9.73E-28,1.18125426,1.355805941
1255.9,SCC,0.899284844,5.60E-28,1.181336383,1.326665841
1260.63,SCC,0.900192639,7.18E-28,1.173679529,1.281577698
1265.37,SCC,0.899010492,5.19E-28,1.180394394,1.294937735
1270.11,SCC,0.896574999,2.69E-28,1.188697727,1.299297357
1274.84,SCC,0.893886214,1.32E-28,1.209355788,1.371821694
1279.58,SCC,0.893756615,1.28E-28,1.22701951,1.47977277
1284.32,SCC,0.891236136,6.65E-29,1.264412844,1.651499912
1289.05,SCC,0.887295239,2.45E-29,1.313965141,1.88849666
1293.79,SCC,0.883004975,8.51E-30,1.360849317,2.134657917
1298.53,SCC,0.877942028,2.54E-30,1.42865276,2.489668354
1303.26,SCC,0.872190067,6.74E-31,1.493385879,2.846116833
1308,SCC,0.865193201,1.43E-31,1.582354984,3.367482281
1312.74,SCC,0.855810869,1.96E-32,1.687110994,3.991929522
1317.47,SCC,0.847087497,3.39E-33,1.796255945,4.695457088
1322.21,SCC,0.83707317,4.97E-34,1.909275307,5.424685841
1326.95,SCC,0.825421298,5.98E-35,2.043577562,6.336844369
1331.68,SCC,0.814978705,9.83E-36,2.156232197,7.113532641
1336.42,SCC,0.803751722,1.54E-36,2.251684728,7.741149906
1341.16,SCC,0.797969977,6.15E-37,2.276643614,7.787740995
1345.89,SCC,0.795306119,4.05E-37,2.293669401,7.827166006
1350.63,SCC,0.791028327,2.09E-37,2.305106428,7.802688566
1355.37,SCC,0.782936822,6.17E-38,2.360574668,8.11205374
1360.1,SCC,0.776098139,2.26E-38,2.416805292,8.433736446
1364.84,SCC,0.760577312,2.54E-39,2.521408457,9.032374981
1369.58,SCC,0.750309642,6.36E-40,2.645365259,9.90466973
1374.31,SCC,0.728971863,4.12E-41,2.811430044,11.0255707
1379.05,SCC,0.707157309,3.00E-42,2.984126235,12.20416374
1383.79,SCC,0.688279608,3.52E-43,3.115226583,13.11347319
1388.52,SCC,0.684006937,2.20E-43,3.131862043,13.10541733
1393.26,SCC,0.675113599,8.40E-44,3.191935208,13.52742043
1397.99,SCC,0.675600181,8.85E-44,3.174783694,13.28423601
1402.73,SCC,0.678491081,1.21E-43,3.130774005,12.84758624
1407.47,SCC,0.683699682,2.13E-43,3.090879111,12.58912891
1412.2,SCC,0.682271167,1.82E-43,3.06390118,12.2240489
1416.94,SCC,0.689189921,3.89E-43,3.004349417,11.73224394
1421.68,SCC,0.691694797,5.14E-43,2.960711617,11.28217633
1426.41,SCC,0.691885225,5.25E-43,2.974449098,11.52289856
1431.15,SCC,0.695855052,8.20E-43,2.919816683,10.95044529
1435.89,SCC,0.694376869,6.94E-43,2.929114239,11.08109236
1440.62,SCC,0.699293505,1.21E-42,2.880494914,10.65389838
1445.36,SCC,0.702655969,1.78E-42,2.839452928,10.31715136
1450.1,SCC,0.706744943,2.86E-42,2.80542746,10.1047329
1454.83,SCC,0.711844763,5.19E-42,2.768175459,9.852895808
1459.57,SCC,0.712247284,5.44E-42,2.769431271,9.841910432
1464.31,SCC,0.715044467,7.59E-42,2.749257314,9.688132473
1469.04,SCC,0.720273665,1.42E-41,2.712297064,9.464907668
1473.78,SCC,0.725812602,2.79E-41,2.649512748,8.979289921
1478.52,SCC,0.735328142,9.14E-41,2.602389693,8.766461518
1483.25,SCC,0.747624955,4.46E-40,2.544493852,8.451001122
1487.99,SCC,0.755276165,1.24E-39,2.457853943,7.84129017
1492.73,SCC,0.759705318,2.25E-39,2.427941383,7.61749646
1497.46,SCC,0.77142928,1.16E-38,2.363424579,7.347379123
1502.2,SCC,0.780163737,4.10E-38,2.303159994,6.988002199
1506.94,SCC,0.783253383,6.47E-38,2.299081957,7.050122955
1511.67,SCC,0.787580336,1.24E-37,2.303443657,7.132509791
1516.41,SCC,0.793482651,3.05E-37,2.275065018,7.009919862
1521.15,SCC,0.807445783,2.81E-36,2.175629342,6.471120831
1525.88,SCC,0.796110986,4.59E-37,2.27686487,7.109914727
1530.62,SCC,0.798221144,6.39E-37,2.301159759,7.388420133
1535.35,SCC,0.796349747,4.77E-37,2.335482292,7.762739141
1540.09,SCC,0.798506203,6.69E-37,2.266596847,7.080857841
1544.83,SCC,0.807254903,2.72E-36,2.223858188,6.941450453
1549.56,SCC,0.805425003,2.02E-36,2.30519897,7.735121237
1554.3,SCC,0.81065146,4.76E-36,2.23529039,7.168754459
1559.04,SCC,0.816461515,1.26E-35,2.256633919,7.655608275
1563.77,SCC,0.821402481,2.95E-35,2.178717609,6.95586588
1568.51,SCC,0.843980598,1.85E-33,2.050067996,6.60046787
1573.25,SCC,0.837565222,5.45E-34,2.057021166,6.353300484
1577.98,SCC,0.867236047,2.23E-31,1.853178484,5.62243904
1582.72,SCC,0.879201827,3.42E-30,1.76908685,5.396660823
1587.46,SCC,0.890521505,5.53E-29,1.679913188,5.167580572
1592.19,SCC,0.92589302,1.91E-24,1.338306239,4.091649915
1596.93,SCC,0.942238338,9.26E-22,1.116626617,3.387157949
1601.67,SCC,0.960049103,4.29E-18,0.859379527,2.403433374
1606.4,SCC,0.970668293,2.66E-15,0.736853461,1.882194639
900.656,AK,0.981324538,4.01E-06,0.460085174,-0.148397032
905.393,AK,0.984669657,3.31E-05,0.469374234,0.239830049
910.129,AK,0.97669613,2.91E-07,0.511063773,-0.134975075
914.866,AK,0.975526919,1.57E-07,0.459301923,-0.398210109
919.602,AK,0.9709023,1.59E-08,0.511410192,-0.370290459
924.339,AK,0.969562701,8.52E-09,0.522585856,-0.382627647
929.075,AK,0.969447045,8.08E-09,0.505632744,-0.421767776
933.812,AK,0.969609745,8.70E-09,0.509179529,-0.414334511
938.549,AK,0.973017284,4.40E-08,0.488396484,-0.39260276
943.285,AK,0.977709311,5.04E-07,0.426693154,-0.449581125
948.022,AK,0.982168459,6.71E-06,0.366809477,-0.473851879
952.758,AK,0.979101208,1.09E-06,0.391947275,-0.464333972
957.495,AK,0.978192538,6.57E-07,0.354081763,-0.538861856
962.231,AK,0.976576439,2.73E-07,0.327128831,-0.627857648
966.968,AK,0.974200752,7.94E-08,0.321468735,-0.70869085
971.704,AK,0.978402751,7.39E-07,0.305401842,-0.649174991
976.441,AK,0.983266846,1.33E-05,0.314352096,-0.512904021
981.178,AK,0.981151306,3.62E-06,0.402848516,-0.389654697
985.914,AK,0.980288843,2.17E-06,0.406178457,-0.36448182
990.651,AK,0.979588664,1.45E-06,0.445993493,-0.298932459
995.387,AK,0.973324477,5.12E-08,0.489825769,-0.351791207
1000.12,AK,0.973731217,6.27E-08,0.488423949,-0.342871013
1004.86,AK,0.974984468,1.18E-07,0.466494484,-0.363931022
1009.6,AK,0.970717189,1.46E-08,0.510638158,-0.357473138
1014.33,AK,0.9701712,1.13E-08,0.506295772,-0.369716538
1019.07,AK,0.967905427,4.03E-09,0.500798125,-0.433963928
1023.81,AK,0.966554826,2.23E-09,0.515357994,-0.415634177
1028.54,AK,0.966853671,2.54E-09,0.501274601,-0.44343536
1033.28,AK,0.96625506,1.96E-09,0.488889811,-0.484405444
1038.02,AK,0.96552499,1.43E-09,0.481175317,-0.506118096
1042.75,AK,0.964569332,9.55E-10,0.481105947,-0.506072065
1047.49,AK,0.966377717,2.06E-09,0.44824469,-0.514145208
1052.23,AK,0.971507349,2.12E-08,0.395639786,-0.510928545
1056.96,AK,0.977594309,4.73E-07,0.314056209,-0.555590594
1061.7,AK,0.976123622,2.15E-07,0.245684193,-0.690235941
1066.44,AK,0.973679815,6.11E-08,0.221327752,-0.756109875
1071.17,AK,0.974578374,9.62E-08,0.200056184,-0.810459122
1075.91,AK,0.976328385,2.39E-07,0.196624801,-0.796851293
1080.65,AK,0.981535666,4.56E-06,0.216247568,-0.670906776
1085.38,AK,0.98097526,3.26E-06,0.306789828,-0.587153135
1090.12,AK,0.976871833,3.20E-07,0.406647528,-0.426061199
1094.85,AK,0.975978617,1.99E-07,0.399200149,-0.474154048
1099.59,AK,0.970664196,1.42E-08,0.464246466,-0.429431045
1104.33,AK,0.970226558,1.16E-08,0.465124908,-0.449319769
1109.06,AK,0.964358429,8.75E-10,0.493747778,-0.486496999
1113.8,AK,0.960472573,1.82E-10,0.582319127,-0.279350746
1118.54,AK,0.96129207,2.52E-10,0.523339264,-0.487035106
1123.27,AK,0.963379081,5.84E-10,0.551833774,-0.347396931
1128.01,AK,0.964288533,8.50E-10,0.561520177,-0.325986376
1132.75,AK,0.965346981,1.33E-09,0.574243771,-0.27121315
1137.48,AK,0.964203038,8.20E-10,0.577229102,-0.287413421
1142.22,AK,0.964468825,9.16E-10,0.567355605,-0.333677425
1146.96,AK,0.963483669,6.09E-10,0.593259952,-0.270230995
1151.69,AK,0.964115791,7.91E-10,0.579371339,-0.285056338
1156.43,AK,0.960849937,2.11E-10,0.605899401,-0.281023906
1161.17,AK,0.959503666,1.25E-10,0.60842086,-0.313113001
1165.9,AK,0.959956765,1.49E-10,0.582042532,-0.383644125
1170.64,AK,0.95962773,1.31E-10,0.587361271,-0.38798451
1175.38,AK,0.957218053,5.28E-11,0.586988739,-0.405585504
1180.11,AK,0.955455378,2.76E-11,0.608587557,-0.384813652
1184.85,AK,0.955360091,2.67E-11,0.605211699,-0.376718159
1189.59,AK,0.955376931,2.69E-11,0.599829906,-0.402448403
1194.32,AK,0.953573514,1.41E-11,0.602948425,-0.424494464
1199.06,AK,0.954824959,2.20E-11,0.591558613,-0.440824972
1203.8,AK,0.957730828,6.39E-11,0.58042177,-0.426707484
1208.53,AK,0.959417164,1.21E-10,0.548683283,-0.49050381
1213.27,AK,0.961732162,3.00E-10,0.533504016,-0.502413674
1218.01,AK,0.964131937,7.96E-10,0.511561333,-0.489020442
1222.74,AK,0.965685941,1.53E-09,0.497415957,-0.529812658
1227.48,AK,0.968171052,4.53E-09,0.499827615,-0.459447999
1232.22,AK,0.969304532,7.57E-09,0.492629622,-0.466465116
1236.95,AK,0.969780355,9.41E-09,0.486683308,-0.459328406
1241.69,AK,0.966695613,2.37E-09,0.492416365,-0.496119221
1246.42,AK,0.969117337,6.95E-09,0.496132277,-0.456709308
1251.16,AK,0.96961151,8.71E-09,0.487899543,-0.455497655
1255.9,AK,0.97015621,1.12E-08,0.473822606,-0.465225737
1260.63,AK,0.966247937,1.95E-09,0.516612714,-0.432140154
1265.37,AK,0.966450853,2.13E-09,0.492937254,-0.497664734
1270.11,AK,0.967873979,3.97E-09,0.49495768,-0.465985092
1274.84,AK,0.966997942,2.70E-09,0.510502108,-0.44846968
1279.58,AK,0.967485859,3.35E-09,0.495104836,-0.486842963
1284.32,AK,0.966838581,2.52E-09,0.496171893,-0.500309372
1289.05,AK,0.966441871,2.12E-09,0.486518504,-0.51297406
1293.79,AK,0.967244849,3.01E-09,0.486975714,-0.502726218
1298.53,AK,0.966490008,2.16E-09,0.504711188,-0.458819281
1303.26,AK,0.965608942,1.48E-09,0.494940236,-0.514193832
1308,AK,0.966248138,1.95E-09,0.522723191,-0.431165201
1312.74,AK,0.965917791,1.69E-09,0.525267978,-0.424403457
1317.47,AK,0.963708247,6.68E-10,0.565182735,-0.338938889
1322.21,AK,0.963861827,7.12E-10,0.597838032,-0.187827528
1326.95,AK,0.961017699,2.26E-10,0.646553393,-0.055291783
1331.68,AK,0.959505205,1.25E-10,0.661543144,-0.018444177
1336.42,AK,0.956564841,4.14E-11,0.690924173,0.016768542
1341.16,AK,0.954526885,1.98E-11,0.724168276,0.127592694
1345.89,AK,0.951508197,6.89E-12,0.726588342,0.052168085
1350.63,AK,0.95528175,2.60E-11,0.737633476,0.264490061
1355.37,AK,0.953441544,1.35E-11,0.739693931,0.235869646
1360.1,AK,0.952426376,9.45E-12,0.723801401,0.071595132
1364.84,AK,0.949199273,3.16E-12,0.817913473,0.524036775
1369.58,AK,0.943695947,5.41E-13,0.854807676,0.694187669
1374.31,AK,0.939502394,1.52E-13,0.954080427,1.137633018
1379.05,AK,0.928672972,7.43E-15,1.122900852,1.928900931
1383.79,AK,0.916437058,3.53E-16,1.24555265,2.348960597
1388.52,AK,0.9039523,2.15E-17,1.34238329,2.70410758
1393.26,AK,0.890664878,1.44E-18,1.455110847,3.244468925
1397.99,AK,0.880213766,2.02E-19,1.637472639,4.402448636
1402.73,AK,0.874284697,7.00E-20,1.687475494,4.597091136
1407.47,AK,0.880886903,2.28E-19,1.631605651,4.404986905
1412.2,AK,0.876322304,1.00E-19,1.646552517,4.203806476
1416.94,AK,0.87914166,1.66E-19,1.610885481,3.993982113
1421.68,AK,0.874981439,7.92E-20,1.664575781,4.330401336
1426.41,AK,0.877560532,1.25E-19,1.641151301,4.219552352
1431.15,AK,0.882169914,2.88E-19,1.605077521,4.000064526
1435.89,AK,0.882741118,3.20E-19,1.556150311,3.632812374
1440.62,AK,0.875442838,8.59E-20,1.635883207,4.045757078
1445.36,AK,0.879177068,1.67E-19,1.621357346,4.072686788
1450.1,AK,0.879867399,1.89E-19,1.570254278,3.681119242
1454.83,AK,0.876310263,1.00E-19,1.624231134,4.046789439
1459.57,AK,0.888923801,1.03E-18,1.476689135,3.112346562
1464.31,AK,0.885491903,5.35E-19,1.515028935,3.322382722
1469.04,AK,0.893834482,2.68E-18,1.419334474,2.8270328
1473.78,AK,0.892881947,2.22E-18,1.430568487,2.790391362
1478.52,AK,0.903867311,2.11E-17,1.341371666,2.442358864
1483.25,AK,0.896124375,4.23E-18,1.400099578,2.693041897
1487.99,AK,0.911341983,1.09E-16,1.259669822,2.051189618
1492.73,AK,0.907695213,4.83E-17,1.269133387,2.030956805
1497.46,AK,0.912295364,1.35E-16,1.299230546,2.375625415
1502.2,AK,0.920573945,9.52E-16,1.212924426,1.963844046
1506.94,AK,0.915783239,3.02E-16,1.239482993,2.012251006
1511.67,AK,0.928893015,7.88E-15,1.122065863,1.589364218
1516.41,AK,0.917398193,4.43E-16,1.277985333,2.422574196
1521.15,AK,0.923628726,2.03E-15,1.168644126,1.74346784
1525.88,AK,0.914891441,2.46E-16,1.268871075,2.274320204
1530.62,AK,0.930510717,1.21E-14,1.14179804,1.966616229
1535.35,AK,0.925722711,3.45E-15,1.189313463,2.104297788
1540.09,AK,0.914779554,2.39E-16,1.286498382,2.501249167
1544.83,AK,0.92973711,9.86E-15,1.151122691,1.968410377
1549.56,AK,0.922281043,1.45E-15,1.19763375,1.948302395
1554.3,AK,0.927532882,5.51E-15,1.084315473,1.489457863
1559.04,AK,0.931474398,1.57E-14,1.119983085,1.832465197
1563.77,AK,0.950692193,5.22E-12,0.934133047,1.353605862
1568.51,AK,0.937623512,8.79E-14,1.069299883,1.748691951
1573.25,AK,0.96501791,1.15E-09,0.736200372,0.447931334
1577.98,AK,0.963737369,6.76E-10,0.766983564,0.731949987
1582.72,AK,0.967336891,3.13E-09,0.736008137,0.682072611
1587.46,AK,0.972281288,3.07E-08,0.668879406,0.643061212
1592.19,AK,0.987820298,0.000295105,0.373037083,-0.039655746
1596.93,AK,0.99290503,0.016343088,0.252662404,-0.251743091
1601.67,AK,0.996491611,0.329406233,0.174926544,0.226682308
1606.4,AK,0.996907337,0.445080536,0.083670127,0.295735472
